ppm,time
949.2362541,355
950.2052337,356
951.1742132,357
952.1431928,358
953.1121723,359
954.0811519,360
955.0501314,361
956.019111,362
956.9880905,363
957.9570701,364
958.9260497,365
959.8950292,366
960.8640043,367
961.8329839,368
962.8019634,369
963.770943,370
964.7399225,371
965.7089021,372
966.6778816,373
967.6468612,374
968.6158407,375
969.5848203,376
970.5537999,377
971.5227794,378
972.491759,379
973.4607341,380
974.4297136,381
975.3986932,382
976.3676727,383
977.3366523,384
978.3056318,385
979.2746114,386
979.2746114,387
979.2746114,388
979.2746114,389
979.2746114,390
979.2746114,391
979.2746114,392
979.2746114,393
979.2746114,394
979.2746114,395
979.2746114,396
979.2746114,397
979.2746114,398
979.2746114,399
979.2746114,400
979.2746114,401
979.2746114,402
979.2746114,403
979.2746114,404
979.2746114,405
979.2746114,406
979.2746114,407
979.2746114,408
979.2746114,409
979.2746114,410
979.2746114,411
979.2746114,412
979.2746114,413
979.2746114,414
979.2746114,415
979.2746114,416
979.2746114,417
979.2746114,418
979.2746114,419
979.2746114,420
979.2746114,421
979.2746114,422
979.2746114,423
979.2746114,424
979.2746114,425
979.2746114,426
979.2746114,427
979.2746114,428
979.2746114,429
979.2746114,430
979.2746114,431
979.2746114,432
979.2746114,433
979.2746114,434
979.2746114,435
979.2746114,436
979.2746114,437
979.2746114,438
979.2746114,439
979.2746114,440
979.2746114,441
979.2746114,442
979.2746114,443
979.2746114,444
979.2746114,445
979.2746114,446
979.2746114,447
979.2746114,448
979.2746114,449
979.2746114,450
979.2746114,451
979.2746114,452
979.2746114,453
979.2746114,454
979.2746114,455
979.2746114,456
979.2746114,457
979.2746114,458
979.2746114,459
979.2746114,460
979.2746114,461
979.2746114,462
979.2746114,463
978.7901218,464
978.3056322,465
977.8211426,466
977.336653,467
976.8521633,468
976.3676738,469
975.8831841,470
975.3986946,471
974.9142051,472
974.4297153,473
973.9452255,474
973.4607363,475
972.9762465,476
972.4917567,477
972.0072675,478
971.5227777,479
971.038288,480
970.5537987,481
970.069309,482
969.5848192,483
969.1003294,484
968.6158396,485
968.131351,486
967.6468612,487
967.1623714,488
966.6778816,489
966.1933919,490
965.7089021,491
965.2244134,492
964.7399236,493
964.2554339,494
963.7709441,495
963.2864543,496
962.8019645,497
962.3174748,498
961.8329861,499
961.3484963,500
960.8640065,501
960.3795168,502
959.895027,503
959.4105372,504
958.9260474,505
958.4415577,506
957.9570679,507
957.4725803,508
956.9880905,509
956.5036008,510
956.019111,511
955.5346212,512
955.0501314,513
954.5656417,514
954.0811519,515
953.5966621,516
953.1121723,517
952.6276826,518
952.1431928,519
951.658703,520
951.1742154,521
950.6897257,522
950.2052359,523
949.7207461,524
949.2362563,525
948.7517666,526
948.2672768,527
947.782787,528
947.2982972,529
946.8138074,530
946.3293177,531
945.8448279,532
945.3603381,533
944.8758506,534
944.3913608,535
943.906871,536
943.4223812,537
942.9378915,538
942.4534017,539
941.9689119,540
941.5247964,541
941.080681,542
940.6365655,543
940.19245,544
939.7483345,545
939.3042191,546
938.8601035,547
938.4159881,548
937.9718728,549
937.5277571,550
937.0836415,551
936.6395264,552
936.1954108,553
935.7512951,554
935.30718,555
934.8630644,556
934.4189488,557
933.9748336,558
933.530718,559
933.0866024,560
932.6424867,561
932.1983711,562
931.7542565,563
931.3101409,564
930.8660253,565
930.4219096,566
929.977794,567
929.5336784,568
929.0895638,569
928.6454481,570
928.2013325,571
927.7572169,572
927.3131012,573
926.8689856,574
926.42487,575
925.9807554,576
925.5366397,577
925.0925241,578
924.6484085,579
924.2042929,580
923.7601772,581
923.3160616,582
922.871946,583
922.4278303,584
921.9837168,585
921.5396011,586
921.0954855,587
920.6513699,588
920.2072542,589
919.7631386,590
919.319023,591
918.8749073,592
918.4307917,593
917.9866761,594
917.5425605,595
917.0984448,596
916.6543292,597
916.2102156,598
915.7661,599
915.3219844,600
914.8778687,601
914.4337531,602
913.9896375,603
913.5455218,604
913.1014062,605
912.6572906,606
912.213175,607
911.7690593,608
911.3249437,609
910.8808281,610
910.4367145,611
909.9925988,612
909.5484832,613
909.1043676,614
908.660252,615
908.2161363,616
907.7720207,617
907.57015,618
907.3682794,619
907.1664087,620
906.964538,621
906.7626673,622
906.5607967,623
906.358926,624
906.1570554,625
905.9551847,626
905.753314,627
905.5514433,628
905.3495727,629
905.147702,630
904.9458313,631
904.7439608,632
904.54209,633
904.3402193,634
904.1383488,635
903.936478,636
903.7346073,637
903.5327366,638
903.3308658,639
903.1289955,640
902.9271248,641
902.7252541,642
902.5233833,643
902.3215126,644
902.1196418,645
901.9177716,646
901.7159008,647
901.5140301,648
901.3121593,649
901.1102886,650
900.9084179,651
900.7065471,652
900.5046768,653
900.3028061,654
900.1009354,655
899.8990646,656
899.6971939,657
899.4953232,658
899.2934524,659
899.0915817,660
898.8897109,661
898.6878411,662
898.4859704,663
898.2840996,664
898.0822289,665
897.8803582,666
897.6784874,667
897.4766167,668
897.2747459,669
897.0728752,670
896.8710045,671
896.6691337,672
896.467263,673
896.2653922,674
896.0635224,675
895.8616517,676
895.6597809,677
895.4579102,678
895.2560395,679
895.0541687,680
894.852298,681
894.6504273,682
894.4485565,683
894.2466858,684
894.044815,685
893.8429443,686
893.6410736,687
893.4392037,688
893.237333,689
893.0354623,690
892.8335915,691
892.6317208,692
892.42985,693
892.2279793,694
892.6317206,695
893.035462,696
893.4392033,697
893.8429446,698
894.246686,699
894.6504273,700
895.0541687,701
895.45791,702
895.8616512,703
896.2653927,704
896.6691342,705
897.0728752,706
897.4766167,707
897.8803582,708
898.2840992,709
898.6878407,710
899.0915822,711
899.4953232,712
899.8990647,713
900.3028061,714
900.7065476,715
901.1102891,716
901.5140297,717
901.9177711,718
902.3215126,719
902.7252541,720
903.1289956,721
903.5327371,722
903.9364776,723
904.3402191,724
904.7439606,725
905.1477021,726
905.5514435,727
905.955185,728
906.3589265,729
906.762667,730
907.1664085,731
907.57015,732
907.9738915,733
908.377633,734
908.7813745,735
909.1851159,736
909.5888574,737
909.9925989,738
910.3963385,739
