ppm,time
884.2766039,355
884.6054204,356
884.9342369,357
885.2630534,358
885.5918688,359
885.9206853,360
886.2495018,361
886.5783183,362
886.9071338,363
887.2359503,364
887.5647668,365
887.8935823,366
888.2223998,367
888.5512153,368
888.8800328,369
889.2088483,370
889.5376637,371
889.8664813,372
890.1952967,373
890.5241122,374
890.8529297,375
891.1817452,376
891.5105627,377
891.8393782,378
892.1681937,379
892.4970112,380
892.8258267,381
893.1546442,382
893.4834597,383
893.8122751,384
894.1410927,385
894.4699081,386
894.7987236,387
895.1275411,388
895.4563566,389
895.7851741,390
896.1139896,391
896.4428051,392
896.7716226,393
897.1004381,394
897.4292556,395
897.7580711,396
898.0868865,397
898.4157041,398
898.7445195,399
899.073335,400
899.4021525,401
899.730968,402
900.0597855,403
900.388601,404
900.7174165,405
901.046234,406
901.3750495,407
901.703867,408
902.0326825,409
902.3614979,410
902.6903155,411
903.0191309,412
903.3479464,413
903.6767639,414
904.0055794,415
904.3343969,416
904.6632124,417
905.3806297,418
906.098047,419
906.8154643,420
907.5328817,421
908.250299,422
908.9677162,423
909.6851337,424
910.402551,425
911.1199683,426
911.8373855,427
912.5548028,428
913.27222,429
913.9896373,430
914.7070551,431
915.4244718,432
916.1418896,433
916.8593063,434
917.5767241,435
918.2941408,436
919.0115586,437
919.7289753,438
920.4463931,439
921.1638098,440
921.8812276,441
922.5986443,442
923.3160622,443
924.03348,444
924.7508978,445
925.4683134,446
926.1857312,447
926.903149,448
927.6205668,449
928.3379824,450
929.0554002,451
929.772818,452
930.4902358,453
931.2076514,454
931.9250692,455
932.642487,456
933.3599048,457
934.0773226,458
934.7947382,459
935.512156,460
936.2295739,461
936.9469917,462
937.6644073,463
938.3818251,464
939.0992429,465
939.8166607,466
940.5340763,467
941.2514941,468
941.9689119,469
942.6863275,470
943.4037475,471
944.1211631,472
944.8385831,473
945.5559987,474
946.2734143,475
946.9908344,476
947.7082499,477
948.4256655,478
949.1430856,479
949.8605012,480
950.5779212,481
951.2953368,482
952.0127524,483
952.7301724,484
953.447588,485
954.165008,486
954.8824236,487
955.5998392,488
956.3172592,489
957.0346748,490
957.7520904,491
958.4695104,492
959.186926,493
959.9043461,494
960.6217617,495
961.3391772,496
962.0565973,497
962.7740129,498
963.4914329,499
964.2088485,500
964.9262641,501
965.6436841,502
966.3610997,503
967.0785153,504
967.7959353,505
968.5133509,506
969.2307709,507
969.9481865,508
970.6656021,509
971.3830221,510
972.1004377,511
972.8178578,512
973.5352734,513
974.2526889,514
974.970109,515
975.6875246,516
976.4049402,517
977.1223602,518
977.8397758,519
978.5571958,520
979.2746114,521
979.2746114,522
979.2746114,523
979.2746114,524
979.2746114,525
979.2746114,526
979.2746114,527
979.2746114,528
979.2746114,529
979.2746114,530
979.2746114,531
979.2746114,532
979.2746114,533
979.2746114,534
979.2746114,535
979.2746114,536
979.2746114,537
979.2746114,538
979.2746114,539
979.2746114,540
979.2746114,541
979.2746114,542
979.2746114,543
979.2746114,544
979.2746114,545
979.2746114,546
979.2746114,547
979.2746114,548
979.2746114,549
979.2746114,550
979.2746114,551
979.2746114,552
979.2746114,553
979.2746114,554
979.2746114,555
979.2746114,556
979.2746114,557
979.2746114,558
979.2746114,559
979.2746114,560
979.2746114,561
979.2746114,562
979.2746114,563
979.2746114,564
979.2746114,565
979.2746114,566
979.2746114,567
979.2746114,568
979.2746114,569
979.2746114,570
979.2746114,571
979.2746114,572
979.2746114,573
979.2746114,574
979.2746114,575
979.2746114,576
979.2746114,577
979.2746114,578
979.2746114,579
979.2746114,580
979.2746114,581
979.2746114,582
979.2746114,583
979.2746114,584
979.2746114,585
979.2746114,586
979.2746114,587
979.2746114,588
979.2746114,589
979.2746114,590
979.2746114,591
979.2746114,592
979.2746114,593
979.2746114,594
979.2746114,595
979.2746114,596
979.2746114,597
979.2746114,598
979.2746114,599
979.2746114,600
979.2746114,601
979.2746114,602
979.2746114,603
979.2746114,604
979.2746114,605
979.2746114,606
979.2746114,607
979.2746114,608
979.2746114,609
979.2746114,610
979.2746114,611
979.2746114,612
979.2746114,613
979.2746114,614
979.2746114,615
979.2746114,616
979.2746114,617
979.2746114,618
979.2746114,619
979.2746114,620
979.2746114,621
979.2746114,622
979.2746114,623
979.2746114,624
979.2746114,625
978.9159027,626
978.5571941,627
978.1984854,628
977.8397768,629
977.4810681,630
977.1223595,631
976.7636507,632
976.4049421,633
976.0462335,634
975.6875248,635
975.3288162,636
974.9701076,637
974.611399,638
974.2526901,639
973.8939817,640
973.5352728,641
973.1765645,642
972.8178555,643
972.4591472,644
972.1004383,645
971.7417299,646
971.383021,647
971.0243127,648
970.6656038,649
970.3068954,650
969.9481865,651
969.5894776,652
969.2307687,653
968.8720609,654
968.513352,655
968.1546431,656
967.7959342,657
967.4372264,658
967.0785175,659
966.7198086,660
966.3610997,661
966.0023919,662
965.643683,663
965.2849741,664
964.9262652,665
964.5675563,666
964.2088485,667
963.8501396,668
963.4914307,669
963.1327218,670
962.774014,671
962.4153051,672
962.0565962,673
961.6978873,674
961.3391795,675
960.9804706,676
960.6217617,677
960.2630539,678
959.9043438,679
959.545636,680
959.186926,681
958.8282182,682
958.4695104,683
958.1108004,684
957.7520926,685
957.3933848,686
957.0346748,687
956.675967,688
956.317257,689
955.9585492,690
955.5998414,691
955.2411314,692
954.8824236,693
954.5237136,694
954.1650058,695
953.806298,696
953.447588,697
953.0888802,698
952.7301724,699
952.3714624,700
952.0127546,701
951.6540446,702
951.2953368,703
950.936629,704
950.577919,705
950.2192112,706
949.8605012,707
949.5017934,708
949.1430856,709
948.7843755,710
948.4256678,711
948.06696,712
947.7082499,713
947.3495421,714
946.9908321,715
946.6321243,716
946.2734165,717
945.9147065,718
945.5559987,719
945.1972887,720
944.8385809,721
944.4798731,722
944.1211631,723
943.7624553,724
943.4037475,725
943.0450375,726
942.6863297,727
942.3276197,728
941.9689119,729
941.6400956,730
941.3112794,731
940.9824631,732
940.6536468,733
940.3248306,734
939.9960143,735
939.667198,736
939.3383817,737
939.0095655,738
938.6807492,739
938.351933,740
938.0231167,741
937.6943005,742
937.365484,743
937.036668,744
936.7078515,745
936.3790355,746
936.050219,747
935.721403,748
935.3925866,749
935.0637706,750
934.7349541,751
